,group,website,coder
179,"Viator VIP: Best of DC Including US Capitol, National Archives...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349VIPDC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349VIPDC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11453868-Viator_VIP_Best_of_DC_Including_US_Capitol_National_Archives_Reserved_Access_White_House_and_Lincoln_Memorial-Washington_DC_District_of_Columbia.html', 'title', '6349VIPDC', '10');",d11453868
197,Arlington National Cemetery Guided Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41377P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41377P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11991983-Arlington_National_Cemetery_Guided_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '41377P3', '11');",d11991983
215,Washington DC Day Tour from New York City,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('11569P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('11569P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g60763-d11446106-Washington_DC_Day_Tour_from_New_York_City-New_York_City_New_York.html', 'title', '11569P1', '12');",d11446106
233,Washington DC Night Tour with Hotel Pickup,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('17184P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('17184P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11462009-Washington_DC_Night_Tour_with_Hotel_Pickup-Washington_DC_District_of_Columbia.html', 'title', '17184P2', '13');",d11462009
251,International Spy Museum,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5451SPY','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5451SPY','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11451642-International_Spy_Museum-Washington_DC_District_of_Columbia.html', 'title', '5451SPY', '14');",d11451642
272,Washington DC in One Day: Guided Sightseeing Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349DAYTOUR','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349DAYTOUR','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11465085-Washington_DC_in_One_Day_Guided_Sightseeing_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349DAYTOUR', '15');",d11465085
290,African-American History City Tour with Reserved Museum Entry,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P19','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P19','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11485793-African_American_History_City_Tour_with_Reserved_Museum_Entry-Washington_DC_Distric.html', 'title', '6349P19', '16');",d11485793
308,Capitol Hill Guided Small-Group Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41377P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41377P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11992042-Capitol_Hill_Guided_Small_Group_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '41377P2', '17');",d11992042
326,Washington DC Duck Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5046WAS_DUC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5046WAS_DUC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11477048-Washington_DC_Duck_Tour-Washington_DC_District_of_Columbia.html', 'title', '5046WAS_DUC', '18');",d11477048
343,Washington DC Monuments Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384MT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384MT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11447233-Washington_DC_Monuments_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '2384MT', '19');",d11447233
361,Big Bus Washington DC Night Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5096DCNIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5096DCNIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d12720289-Big_Bus_Washington_DC_Night_Tour-Washington_DC_District_of_Columbia.html', 'title', '5096DCNIGHT', '20');",d12720289
379,In the Footsteps of George Washington: Spirit Day Cruise to Mount...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5042BOSSPI','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5042BOSSPI','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11450447-In_the_Footsteps_of_George_Washington_Spirit_Day_Cruise_to_Mount_Vernon-Washington_.html', 'title', '5042BOSSPI', '21');",d11450447
397,Dynamite Day Tour: Small-Group DC Bus Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('12862P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('12862P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11460275-Dynamite_Day_Tour_Small_Group_DC_Bus_Tour-Washington_DC_District_of_Columbia.html', 'title', '12862P1', '22');",d11460275
415,Washington DC Essential Hop-On Hop-Off plus Bonus Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8034P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8034P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11456143-Washington_DC_Essential_Hop_On_Hop_Off_plus_Bonus_Tour-Washington_DC_District_of_Co.html', 'title', '8034P5', '23');",d11456143
433,Half-Day Grand Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8839P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8839P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11457825-Half_Day_Grand_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '8839P1', '24');",d11457825
451,Epic Washington DC Evening Tour: Small-Group Van Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('12862P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('12862P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11460276-Epic_Washington_DC_Evening_Tour_Small_Group_Van_Tour-Washington_DC_District_of_Colu.html', 'title', '12862P2', '25');",d11460276
469,Washington DC Sites at Night Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384SNT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384SNT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11447234-Washington_DC_Sites_at_Night_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '2384SNT', '26');",d11447234
487,Washington DC Twilight Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8034P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8034P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11456141-Washington_DC_Twilight_Tour-Washington_DC_District_of_Columbia.html', 'title', '8034P3', '27');",d11456141
505,Washington DC Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707SEGWAY','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707SEGWAY','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11449736-Washington_DC_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707SEGWAY', '28');",d11449736
523,Mount Vernon and Old Town Alexandria Day Trip from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5769MTVN','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5769MTVN','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11987981-Mount_Vernon_and_Old_Town_Alexandria_Day_Trip_from_Washington_DC-Washington_DC_Dist.html', 'title', '5769MTVN', '29');",d11987981
