,group,website,coder
894,"Private Guided Tour Itinerary: 3 Days: DC, Mount Vernon, and...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P9','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14007477-Private_Guided_Tour_Itinerary_3_Days_DC_Mount_Vernon_and_Arlington_Cemetery-Washington_DC_District_of_Columbia.html', 'title', '67327P9', '19');",d14007477
912,National Gallery of Art Sculpture Art Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('20135P7','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('20135P7','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13906661-National_Gallery_of_Art_Sculpture_Art_Tour-Washington_DC_District_of_Columbia.html', 'title', '20135P7', '20');",d13906661
930,Private Washington DC Jeep Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P29','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P29','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14054664-Private_Washington_DC_Jeep_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349P29', '21');",d14054664
948,Private Mount Vernon and Arlington Cemetery Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P5','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13906743-Private_Mount_Vernon_and_Arlington_Cemetery_Tour-Washington_DC_District_of_Columbia.html', 'title', '67327P5', '22');",d13906743
966,Georgetown Cupcake and Dessert Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41376P10','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41376P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14124748-Georgetown_Cupcake_and_Dessert_Tour-Washington_DC_District_of_Columbia.html', 'title', '41376P10', '23');",d14124748
984,Walking Food Tour of the Historic U Street Neighborhood,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('14782P1','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('14782P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11459419-Walking_Food_Tour_of_the_Historic_U_Street_Neighborhood-Washington_DC_District_of_C.html', 'title', '14782P1', '24');",d11459419
1002,Sites by Segway In Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384P12','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384P12','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11458659-Sites_by_Segway_In_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2384P12', '25');",d11458659
1020,Daytime DC Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P9','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484049-Daytime_DC_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P9', '26');",d11484049
1039,Haunted DC Walking Tour on Capitol Hill,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33871P1','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33871P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11478415-Haunted_DC_Walking_Tour_on_Capitol_Hill-Washington_DC_District_of_Columbia.html', 'title', '33871P1', '27');",d11478415
1058,Renegade Group Tour of the National Gallery of Art,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7608P4','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7608P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988146-Renegade_Group_Tour_of_the_National_Gallery_of_Art-Washington_DC_District_of_Columbia.html', 'title', '7608P4', '28');",d11988146
1075,Washington DC Odyssey Dinner Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5042WASDIN','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5042WASDIN','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450453-Washington_DC_Odyssey_Dinner_Cruise-Washington_DC_District_of_Columbia.html', 'title', '5042WASDIN', '29');",d11450453
1093,Private Half-Day Sightseeing Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('22615P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('22615P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12314205-Private_Half_Day_Sightseeing_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '22615P5', '0');",d12314205
1111,Spirit of Washington DC Scenic Lunch Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5042_W0001','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5042_W0001','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11450442-Spirit_of_Washington_DC_Scenic_Lunch_Cruise-Washington_DC_District_of_Columbia.html', 'title', '5042_W0001', '1');",d11450442
1129,Moonlit Motor Coach Tour of the National Mall with Pick-Up,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483140-Moonlit_Motor_Coach_Tour_of_the_National_Mall_with_Pick_Up-Washington_DC_District_of_Columbia.html', 'title', '6766P11', '2');",d11483140
1146,Guided DC City Bus Tour Plus Potomac River Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483411-Guided_DC_City_Bus_Tour_Plus_Potomac_River_Cruise-Washington_DC_District_of_Columbia.html', 'title', '6766P10', '3');",d11483411
1163,Morning DC Small-Group Bus Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('12862P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('12862P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11486985-Morning_DC_Small_Group_Bus_Tour-Washington_DC_District_of_Columbia.html', 'title', '12862P4', '4');",d11486985
1181,Small-Group Tastes of Georgetown Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('14782P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('14782P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12812665-Small_Group_Tastes_of_Georgetown_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '14782P3', '5');",d12812665
1199,Private Guided Tour of the Smithsonian National Air and Space Museum,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990565-Private_Guided_Tour_of_the_Smithsonian_National_Air_and_Space_Museum-Washington_DC_District_of_Columbia.html', 'title', '40048P4', '6');",d11990565
1217,Small Group Tour of the Smithsonian National Air and Space Museum,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990464-Small_Group_Tour_of_the_Smithsonian_National_Air_and_Space_Museum-Washington_DC_District_of_Columbia.html', 'title', '40048P12', '7');",d11990464
1235,Monuments and Memorials Sunset Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484005-Monuments_and_Memorials_Sunset_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P10', '8');",d11484005
1253,2-Day Grand Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2890G','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2890G','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11448011-2_Day_Grand_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2890G', '9');",d11448011
1271,Spirit of Washington DC Sunset Dinner Cruise with Buffet,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5042WASHSUN','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5042WASHSUN','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11450454-Spirit_of_Washington_DC_Sunset_Dinner_Cruise_with_Buffet-Washington_DC_District_of_.html', 'title', '5042WASHSUN', '10');",d11450454
1289,Private Moonlight DC City Tour by Van,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32041P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32041P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988735-Private_Moonlight_DC_City_Tour_by_Van-Washington_DC_District_of_Columbia.html', 'title', '32041P3', '11');",d11988735
1307,Washington DC Monuments by Moonlight Night Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6163MOONCRU','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6163MOONCRU','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11463005-Washington_DC_Monuments_by_Moonlight_Night_Cruise-Washington_DC_District_of_Columbia.html', 'title', '6163MOONCRU', '12');",d11463005
1325,Viator Exclusive: Cherry Blossom Bike Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384CHERRY','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384CHERRY','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12198230-Viator_Exclusive_Cherry_Blossom_Bike_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2384CHERRY', '13');",d12198230
1343,Arlington Cemetery Plus DC Monuments Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11470935-Arlington_Cemetery_Plus_DC_Monuments_Tour-Washington_DC_District_of_Columbia.html', 'title', '6766P4', '14');",d11470935
1360,Washington DC One Day Tour from New York City with US Capitol upgrade,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('62527P8','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('62527P8','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d13286654-Washington_DC_One_Day_Tour_from_New_York_City_with_US_Capitol_upgrade-New_York_City_New_York.html', 'title', '62527P8', '15');",d13286654
1380,Four-Hour Private DC Highlight Tour by Van,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32041P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32041P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988734-Four_Hour_Private_DC_Highlight_Tour_by_Van-Washington_DC_District_of_Columbia.html', 'title', '32041P2', '16');",d11988734
1398,Washington DC Hop-on Hop-off Bus Tour and Attractions Pass,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6487DCFLEX','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6487DCFLEX','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11454057-Washington_DC_Hop_on_Hop_off_Bus_Tour_and_Attractions_Pass-Washington_DC_District_of_Columbia.html', 'title', '6487DCFLEX', '17');",d11454057
1416,The White House as a Home Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('37017P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('37017P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12089485-The_White_House_as_a_Home_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '37017P2', '18');",d12089485
1434,Guided Tour of US Capitol and Monuments via Mini Coach,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P7','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P7','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11470936-Guided_Tour_of_US_Capitol_and_Monuments_via_Mini_Coach-Washington_DC_District_of_Columbia.html', 'title', '6766P7', '19');",d11470936
1451,Small-Group Walking Tour: Georgetown Food and History,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('39348P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('39348P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12578296-Small_Group_Walking_Tour_Georgetown_Food_and_History-Washington_DC_District_of_Columbia.html', 'title', '39348P6', '20');",d12578296
1469,Mount Vernon Bike Trail: Independent Tour with Optional Potomac River...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384MV','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384MV','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11462023-Mount_Vernon_Bike_Trail_Independent_Tour_with_Optional_Potomac_River_Cruise-Washington_DC_District_of_Columbia.html', 'title', '2384MV', '21');",d11462023
1487,Morning Monuments Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483277-Morning_Monuments_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '6766P9', '22');",d11483277
1504,Mount Vernon and Old Town Alexandria Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P28','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P28','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13433414-Mount_Vernon_and_Old_Town_Alexandria_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349P28', '23');",d13433414
1522,Day Tour of Arlington Virginia,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988454-Day_Tour_of_Arlington_Virginia-Washington_DC_District_of_Columbia.html', 'title', '26722P2', '24');",d11988454
1540,Georgetown Foodie Tour and Neighborhood Walk,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('13603P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('13603P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11903970-Georgetown_Foodie_Tour_and_Neighborhood_Walk-Washington_DC_District_of_Columbia.html', 'title', '13603P2', '25');",d11903970
1558,Washington DC Brewery Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('36457DCBREW','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('36457DCBREW','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11479973-Washington_DC_Brewery_Tour-Washington_DC_District_of_Columbia.html', 'title', '36457DCBREW', '26');",d11479973
1576,Two Hour Segway DC City Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P19','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P19','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13416039-Two_Hour_Segway_DC_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P19', '27');",d13416039
1594,Washington National Cathedral Admission Ticket,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('49810P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('49810P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648357-Washington_National_Cathedral_Admission_Ticket-Washington_DC_District_of_Columbia.html', 'title', '49810P1', '28');",d12648357
1612,Deluxe Half Day Tour of DC with Reserved US Capitol Entry,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P22','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P22','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12078395-Deluxe_Half_Day_Tour_of_DC_with_Reserved_US_Capitol_Entry-Washington_DC_District_of_Columbia.html', 'title', '6349P22', '29');",d12078395
1630,DC After Dark,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2890P20','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2890P20','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11470567-DC_After_Dark-Washington_DC_District_of_Columbia.html', 'title', '2890P20', '0');",d11470567
1648,Washington DC Georgetown Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11459455-Washington_DC_Georgetown_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '8918P2', '1');",d11459455
1666,Small Group Moonlight Tour of DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32453P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32453P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483002-Small_Group_Moonlight_Tour_of_DC-Washington_DC_District_of_Columbia.html', 'title', '32453P3', '2');",d11483002
1684,Washington DC Legend Daytime Comprehensive Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('17184P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('17184P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11462007-Washington_DC_Legend_Daytime_Comprehensive_Tour-Washington_DC_District_of_Columbia.html', 'title', '17184P1', '3');",d11462007
1702,Washington DC Super Saver: Hop-on Hop-off Trolley and Monuments by...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5046SUPERDC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5046SUPERDC','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450499-Washington_DC_Super_Saver_Hop_on_Hop_off_Trolley_and_Monuments_by_Moonlight_Tour-Washington_DC_District_of_Columbia.html', 'title', '5046SUPERDC', '4');",d11450499
1719,Sample Tastes of H Street Walking Tour With Craft Beer Tasting,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P68','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P68','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12928658-Sample_Tastes_of_H_Street_Walking_Tour_With_Craft_Beer_Tasting-Washington_DC_District_of_Columbia.html', 'title', '5713P68', '5');",d12928658
1737,Washington D.C. 2-Hour Guided Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('43913P6','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('43913P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12577708-Washington_D_C_2_Hour_Guided_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '43913P6', '6');",d12577708
1755,"Private Smithsonian Combo Tour: Museum of American History, Air and...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P22','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P22','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12053484-Private_Smithsonian_Combo_Tour_Museum_of_American_History_Air_and_Space_Museum-Washington_DC_District_of_Columbia.html', 'title', '40048P22', '7');",d12053484
1773,"Hop-On Hop-Off Bus Tour of Washington DC: Monuments, Landmarks and...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6487HOHO','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6487HOHO','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11458048-Hop_On_Hop_Off_Bus_Tour_of_Washington_DC_Monuments_Landmarks_and_Memorials-Washingt.html', 'title', '6487HOHO', '8');",d11458048
1791,Mount Vernon Half Day Trip,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2890_B0001','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2890_B0001','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11448009-Mount_Vernon_Half_Day_Trip-Washington_DC_District_of_Columbia.html', 'title', '2890_B0001', '9');",d11448009
1809,Private Family-Friendly DC Tour by Bike,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41503P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41503P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990247-Private_Family_Friendly_DC_Tour_by_Bike-Washington_DC_District_of_Columbia.html', 'title', '41503P3', '10');",d11990247
1827,Private Guided Tour: Smithsonian National Museum of Natural History,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P26','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P26','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648019-Private_Guided_Tour_Smithsonian_National_Museum_of_Natural_History-Washington_DC_District_of_Columbia.html', 'title', '40048P26', '11');",d12648019
1845,Monuments of DC Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('43913P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('43913P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12433313-Monuments_of_DC_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '43913P2', '12');",d12433313
1863,Washington by Water Monuments Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6300MONUPOTO','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6300MONUPOTO','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11453780-Washington_by_Water_Monuments_Cruise-Washington_DC_District_of_Columbia.html', 'title', '6300MONUPOTO', '13');",d11453780
